respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.08657294861462378,0.1546520048840578
26708,0.12948789061309002,0.1265057193732467
26709,0.346448515589787,0.8409653882583364
26710,0.8308626675019621,0.8491279516781806
26711,0.16987415230265374,0.38969450009460926
26712,0.5434489704385208,0.9574975802160353
26713,0.2787633211216237,0.5163757376050974
26714,0.12733672265804055,0.09828224412649533
26715,0.12010779478890657,0.08180946008950697
26716,0.12754100419289782,0.9077023683477969
26717,0.07238151828225295,0.6272025354315073
26718,0.1755255464774146,0.5337293430270706
26719,0.06032407040314546,0.9378761141410443
26720,0.07089787423669372,0.2721134692552
26721,0.35837392118354194,0.4366194455627198
26722,0.11290870781490991,0.09002129516722121
26723,0.7522983134758688,0.8967877166825878
26724,0.13210771809346847,0.8192711121907292
26725,0.10337241429874225,0.09393797201520443
26726,0.15288660808474952,0.060277284119870454
26727,0.14025650984068463,0.9112749055814696
26728,0.17800592317639813,0.6271562303643334
26729,0.10627203482440428,0.2363352927499749
26730,0.09568369448470353,0.14114020118105616
26731,0.1123097350587798,0.31592491763867175
26732,0.10304586635696389,0.10174487915850244
26733,0.9832422384639661,0.9680521270486987
26734,0.6947583849652686,0.4771684549294298
26735,0.09356905975278423,0.3374559816107012
26736,0.08218327803001908,0.13385819025584464
26737,0.12467018813511782,0.14836115933960511
26738,0.7665646581545391,0.8216252930200462
26739,0.1040941110781667,0.1582095103177269
26740,0.15400460351081596,0.17655181373942974
26741,0.13781187319546567,0.9182097419947972
26742,0.13425744137514625,0.300848655365123
26743,0.0991261677241134,0.2831204528709458
26744,0.12898430509107905,0.8063789481183457
26745,0.08034922321423874,0.92404819956643
26746,0.17676369147291437,0.3473795705857065
26747,0.11673962540876287,0.17838535955654622
26748,0.09382827420098133,0.16188565601782628
26749,0.157625311087596,0.6123061641008947
26750,0.8616654952944761,0.8823142110495726
26751,0.2974739868470411,0.7740073351862367
26752,0.1222607769102867,0.21494665054606815
26753,0.10095955916119595,0.5670269106050942
26754,0.10846805705325616,0.49241333104310353
26755,0.12541219217107744,0.25188249059639173
26756,0.12919533783877415,0.12980868269988763
26757,0.5,0.8487119676083407
26758,0.6421816122443051,0.8631356225815314
26759,0.11473607009027248,0.16111286668054547
26760,0.10531235520000583,0.17720126165920996
26761,0.30948495726986514,0.6784922214641663
26762,0.12386618280180371,0.8816624049947998
26763,0.9674870029939473,0.8715044608154486
26764,0.9919146429774142,0.9303264167832049
26765,0.12417556127815146,0.5728129346457437
26766,0.09468269253974584,0.12115288676105973
26767,0.8870679650488973,0.7026994486777458
26768,0.04161451301969432,0.38343350278875726
26769,0.14618429699976526,0.2162760936088057
26770,0.08940608599519731,0.6492069058272689
26771,0.07804776628829446,0.17537695587612587
26772,0.09131613096074896,0.36231452750831195
26773,0.06132321270140025,0.2536636671904459
26774,0.12905173071251616,0.4510154063881456
26775,0.1001192496058621,0.4636515938529922
26776,0.21411379415174173,0.49327305164790997
26777,0.08255513223478748,0.8898109219055974
26778,0.13768659293007432,0.07211753931780393
26779,0.07236391191758211,0.6043794439553375
26780,0.15289796605713604,0.8974388512408183
26781,0.12041659492771138,0.18679075999507208
26782,0.10014471766957156,0.24383645548775787
26783,0.09650389646732618,0.2543179244471249
26784,0.3586195687088306,0.9128689456904262
